胡饕米粉湯•黑白切(台大公館店)-銅板小吃 學生美食 便當外送(平價人氣必吃推薦),0-100,飯類,麵類,便當,公館
金雞園,0-100,麵類,港式料理,null,公館
鍋in百元風味火鍋,100-200,火鍋,null,null,公館
12MINI經典即享鍋-捷運公館店,100-200,火鍋,null,null,公館
無鍋不樂,100-200,火鍋,null,null,公館
魯山人和風壽喜燒鍋物,300-400,壽喜燒,null,null,公館
辛殿麻辣鍋-公館店,700-800,火鍋,null,null,公館
馬辣頂級麻辣鴛鴦火鍋,700-800,火鍋,null,null,公館
新馬辣經典麻辣鍋-公館店,700-800,火鍋,null,null,公館
麵工坊義大利麵公館JR店,100-200,義大利麵,null,null,公館
Ville Cafe,100-300,咖啡廳,甜點,鹹食,公館
窩巷弄,200-300,早午餐,義大利麵,null,公館
Bravo Burger發福廚房公館台大店,300-400,漢堡,義大利麵,null,公館
L.A.F BURGER 拉芙漢堡,200-300,早午餐,義大利麵,漢堡,公館
貳樓餐廳 Second Floor Cafe 公館店,300-400,早午餐,義大利麵,漢堡,公館
費斯達香草洋食館,100-200,義大利麵,null,null,公館
大埔鐵板燒 公館店,100-200,鐵板燒,null,null,公館
甘丹燒鐵板,100-200,鐵板燒,null,null,公館
戰醬燒肉/台北美食/台北燒肉/台北吃到飽/台北燒肉吃到飽/公館美食/公館吃到飽,500-700,烤肉,null,null,公館
瓦崎燒烤火鍋 公館店,500-700,烤肉,null,null,公館
喫尤平價鐵板燒 - 公館店,100-200,鐵板燒,null,null,公館
牛二哥牛排館,100-200,排餐,null,null,公館
威宇牛排 - 公館店,200-300,排餐,null,null,公館
好吃好吃 2號店,200-300,排餐,null,null,公館
龐德羅莎(台大店),200-300,排餐,null,null,公館
漢堡王 公館店,100-200,漢堡,null,null,公館
派克脆皮雞排,0-100,炸物,null,null,公館
Cui Lian Kitchen 淬煉廚房,100-200,披薩,null,null,公館
胖老爹美式炸雞-公館台大店,0-100,炸物,null,null,公館
台大美食-魔法雞排(魔法炸雞)外送、下午茶、宵夜、鄉民推薦、必吃美食、公館商圈必吃、鹹酥雞、鹽酥雞、香雞排,0-100,炸物,null,null,公館
麥當勞-羅斯福店,0-100,炸物,null,null,公館
大學口大腸麵線&臭豆腐,0-100,炸物,麵類,null,公館
炸手指/公館宵夜 公館炸物 公館美食推薦 台大宵夜 台大串燒 台大美食推薦,0-100,炸物,null,null,公館
滿粥穗 台北公館店,100-200,粥,null,null,公館
白帝城川式滷味(公館總店）,100-200,滷味,null,null,公館
公館阿姨滷味,0-100,滷味,null,null,公館
卜乘輕食滷味,0-100,滷味,null,null,公館
八年得麻辣專賣店,100-200,麵類,飯類,null,公館
SUBWAY,100-200,吐司麵包,null,null,公館
生機沙拉船,0-100,吐司麵包,null,null,公館
雪球咖啡 (公館店),0-100,咖啡廳,null,null,公館
MWD麥味登台大店,0-100,早餐,null,null,公館
土司吐司 ToasToasT（公館店）,0-100,吐司麵包,null,null,公館
吃吐吧,0-100,吐司麵包,早餐,null,公館
倆倆號,0-100,吐司麵包,null,null,公館
拉亞漢堡-北市汀州三總,0-100,早餐,null,null,公館
#BFF Gossip Brunch 早午餐-公館店,200-300,早午餐,null,null,公館
45 brunch cafe,200-300,早午餐,null,null,公館
如來素食樂園,0-100,素食,null,null,公館
素食地瓜球,0-100,素食,炸物,null,公館
大家素食,0-100,素食,null,null,公館
蒸夠臭素食蒸臭豆腐,0-100,素食,null,null,公館
小蔬杭 絕對蔬食(台大二活店),300-400,素食,null,null,公館
